month,temperature,rainfall
2013/1,17.7,49.5
2013/2,17.7,18.0
2013/3,20.4,4.0
2013/4,20.8,177.0
2013/5,21.8,229.0
2013/6,25.9,108.0
2013/7,26.9,6.5
2013/8,27.8,37.5
2013/9,27.7,172.0
2013/10,26.4,112.5
2013/11,22.8,127.5
2013/12,19.1,69.0
