month,temperature,rainfall
1,-8.1,87.3
2,-8.0,60.2
3,-3.0,57.4
4,3.6,55.6
5,9.5,68.3
6,13.9,52.2
7,17.9,108.1
8,19.5,136.4
9,14.7,143.9
10,8.5,170.4
11,1.9,157.2
12,-4.3,125.6
