month,temperature,rainfall
1,-2.6,77.2
2,-2.1,59.3
3,1.4,59.3
4,7.2,70.1
5,11.9,83.6
6,15.8,72.9
7,19.7,130.3
8,22.0,153.8
9,18.3,152.5
10,12.2,100.0
11,5.7,108.2
12,0.0,84.7
