month,temperature,rainfall
1,3.5,26.2
2,4.0,32.1
3,7.3,61.5
4,13.2,78.1
5,18.0,101.9
6,21.5,145.2
7,25.1,197.3
8,26.4,202.3
9,22.4,220.6
10,16.5,115.5
11,10.8,44.7
12,6.0,23.1
