month,temperature,rainfall
2013/1,5.2,59.5
2013/2,6.0,83.5
2013/3,10.2,76.5
2013/4,12.6,101.5
2013/5,17.7,50.0
2013/6,22.2,302.0
2013/7,27.5,276.0
2013/8,27.9,558.5
2013/9,22.8,156.0
2013/10,18.8,250.0
2013/11,12.8,97.0
2013/12,7.8,124.0
