month,temperature,rainfall
1,17.0,107.0
2,17.1,119.7
3,18.9,161.4
4,21.4,165.7
5,24.0,231.6
6,26.8,247.2
7,28.9,141.4
8,28.7,240.5
9,27.6,260.5
10,25.2,152.9
11,22.1,110.2
12,18.7,102.8
