month,temperature,rainfall
1,-0.9,42.8
2,-0.5,40.1
3,2.7,52.0
4,8.5,64.3
5,13.1,89.3
6,16.2,105.8
7,20.1,136.1
8,22.5,128.8
9,18.9,167.6
10,13.0,87.2
11,6.9,62.0
12,1.8,49.1
