month,temperature,rainfall
2013/1,5.5,70.0
2013/2,6.2,30.0
2013/3,12.1,44.5
2013/4,15.2,283.0
2013/5,19.8,56.0
2013/6,22.9,159.0
2013/7,27.3,115.5
2013/8,29.2,99.0
2013/9,25.2,231.5
2013/10,19.8,440.0
2013/11,13.5,26.0
2013/12,8.3,59.5
