month,temperature,rainfall
1,3.6,37.4
2,4.4,43.1
3,7.8,90.9
4,13.4,102.3
5,18.0,117.3
6,21.5,142.4
7,25.1,148.1
8,26.6,176.3
9,22.7,201.8
10,16.9,164.9
11,11.0,75.7
12,5.9,41.1
