month,temperature,rainfall
1,4.5,48.4
2,5.2,65.6
3,8.7,121.8
4,14.4,124.8
5,18.9,156.5
6,22.7,201.0
7,26.4,203.6
8,27.8,126.3
9,24.1,234.4
10,18.1,128.3
11,12.2,79.7
12,7.0,45.0
