month,temperature,rainfall
2011/1,1.2,321.0
2011/2,4.0,88.0
2011/3,5.2,
2011/4,11.0,93.5
2011/5,17.8,418.0
2011/6,23.1,115.5
2011/7,27.0,135.5
2011/8,27.1,217.0
2011/9,23.2,455.0
2011/10,16.8,88.0
2011/11,12.9,116.0
2011/12,5.1,377.0
