month,temperature,rainfall
1,3.7,207.8
2,3.9,160.6
3,7.0,139.2
4,12.6,106.9
5,17.4,135.1
6,21.3,160.8
7,25.3,183.9
8,26.8,148.5
9,22.7,217.9
10,16.8,158.6
11,11.4,163.0
12,6.5,197.6
