month,temperature,rainfall
1,-0.3,72.0
2,-0.1,52.4
3,2.7,57.7
4,7.4,72.9
5,11.2,89.2
6,14.7,80.8
7,18.7,144.7
8,21.6,155.4
9,19.1,150.3
10,13.7,106.4
11,7.7,105.8
12,2.4,83.4
