month,temperature,rainfall
1,4.6,50.3
2,5.1,68.3
3,8.4,113.3
4,14.2,115.7
5,19.0,160.8
6,23.0,214.0
7,26.8,220.4
8,28.2,132.1
9,24.1,176.2
10,17.8,120.9
11,12.1,71.3
12,7.0,48.0
