month,temperature,rainfall
1,2.7,43.8
2,3.7,51.6
3,7.1,99.5
4,12.5,105.6
5,16.9,120.3
6,20.2,133.1
7,23.9,127.1
8,25.5,130.6
9,21.9,183.2
10,16.0,165.9
11,10.0,78.8
12,5.0,43.6
