month,temperature,rainfall
2011/1,3.6,2.5
2011/2,6.1,89.0
2011/3,7.2,55.0
2011/4,13.1,96.0
2011/5,18.9,323.0
2011/6,23.3,240.0
2011/7,26.5,138.5
2011/8,27.7,51.0
2011/9,23.8,439.0
2011/10,18.0,164.0
2011/11,14.1,86.5
2011/12,7.4,24.5
